Function,Dimension,Loop,Fitness
Sphere,4,0,0.000000
Sphere,4,1,0.000000
Sphere,4,2,0.000000
Sphere,4,3,0.000000
Sphere,4,4,0.000000
Sphere,4,5,0.000000
Sphere,4,6,0.000000
Sphere,4,7,0.000000
Sphere,4,8,0.000000
Sphere,4,9,0.000000
Sphere,4,10,0.000000
Sphere,4,11,0.000000
Sphere,4,12,0.000000
Sphere,4,13,0.000142
Sphere,4,14,0.000000
Sphere,4,15,0.000000
Sphere,4,16,0.000000
Sphere,4,17,0.000000
Sphere,4,18,0.000000
Sphere,4,19,0.000000
Sphere,4,20,0.000000
Sphere,4,21,0.000000
Sphere,4,22,0.000000
Sphere,4,23,0.000000
Sphere,4,24,0.000000
Sphere,4,25,0.000000
Sphere,4,26,0.000000
Sphere,4,27,0.000000
Sphere,4,28,0.000000
Sphere,4,29,0.000000
Sphere,256,0,0.011896
Sphere,256,1,0.011498
Sphere,256,2,0.014888
Sphere,256,3,0.014152
Sphere,256,4,0.010257
Sphere,256,5,0.012024
Sphere,256,6,0.013085
Sphere,256,7,0.011160
Sphere,256,8,0.013655
Sphere,256,9,0.014038
Sphere,256,10,0.012989
Sphere,256,11,0.012099
Sphere,256,12,0.012473
Sphere,256,13,0.014194
Sphere,256,14,0.011476
Sphere,256,15,0.015377
Sphere,256,16,0.014109
Sphere,256,17,0.029287
Sphere,256,18,0.030074
Sphere,256,19,0.011047
Sphere,256,20,0.012346
Sphere,256,21,0.015132
Sphere,256,22,0.029490
Sphere,256,23,0.012192
Sphere,256,24,0.021442
Sphere,256,25,0.014775
Sphere,256,26,0.012995
Sphere,256,27,0.143877
Sphere,256,28,0.012698
Sphere,256,29,0.012354
Sphere,1024,0,0.057875
Sphere,1024,1,0.058679
Sphere,1024,2,0.063566
Sphere,1024,3,0.049250
Sphere,1024,4,0.054826
Sphere,1024,5,0.060988
Sphere,1024,6,0.060553
Sphere,1024,7,0.058306
Sphere,1024,8,0.056360
Sphere,1024,9,0.056173
Sphere,1024,10,0.059849
Sphere,1024,11,0.052811
Sphere,1024,12,0.052665
Sphere,1024,13,0.102369
Sphere,1024,14,0.062022
Sphere,1024,15,0.055371
Sphere,1024,16,0.062864
Sphere,1024,17,0.053836
Sphere,1024,18,0.064260
Sphere,1024,19,0.054112
Sphere,1024,20,0.057035
Sphere,1024,21,0.053655
Sphere,1024,22,0.050890
Sphere,1024,23,0.053485
Sphere,1024,24,0.060054
Sphere,1024,25,0.049176
Sphere,1024,26,0.051038
Sphere,1024,27,0.058884
Sphere,1024,28,0.059188
Sphere,1024,29,0.059502
Sphere,8192,0,2.568242
Sphere,8192,1,2.664329
Sphere,8192,2,5.001386
Sphere,8192,3,2.487232
Sphere,8192,4,2.482906
Sphere,8192,5,2.689170
Sphere,8192,6,2.607635
Sphere,8192,7,2.537684
Sphere,8192,8,2.628718
Sphere,8192,9,2.680777
Sphere,8192,10,2.914689
Sphere,8192,11,2.529124
Sphere,8192,12,2.546142
Sphere,8192,13,2.560964
Sphere,8192,14,2.781711
Sphere,8192,15,2.596140
Sphere,8192,16,2.537477
Sphere,8192,17,2.602647
Sphere,8192,18,2.667786
Sphere,8192,19,2.675612
Sphere,8192,20,2.471131
Sphere,8192,21,2.540792
Sphere,8192,22,2.545728
Sphere,8192,23,2.574474
Sphere,8192,24,1.381786
Sphere,8192,25,2.694648
Sphere,8192,26,2.647630
Sphere,8192,27,3.155498
Sphere,8192,28,2.604050
Sphere,8192,29,2.584472
Ackley,4,0,0.000000
Ackley,4,1,0.000000
Ackley,4,2,0.000000
Ackley,4,3,0.000000
Ackley,4,4,0.000000
Ackley,4,5,0.000000
Ackley,4,6,0.000000
Ackley,4,7,0.190654
Ackley,4,8,0.000000
Ackley,4,9,0.000000
Ackley,4,10,0.000000
Ackley,4,11,0.000000
Ackley,4,12,0.000000
Ackley,4,13,0.000000
Ackley,4,14,0.000000
Ackley,4,15,0.000000
Ackley,4,16,0.000000
Ackley,4,17,0.000000
Ackley,4,18,0.000000
Ackley,4,19,0.000000
Ackley,4,20,0.000000
Ackley,4,21,0.000000
Ackley,4,22,0.000000
Ackley,4,23,0.000000
Ackley,4,24,0.000000
Ackley,4,25,0.000000
Ackley,4,26,0.000000
Ackley,4,27,0.000000
Ackley,4,28,0.000000
Ackley,4,29,0.000000
Ackley,256,0,0.031615
Ackley,256,1,0.029617
Ackley,256,2,0.034593
Ackley,256,3,0.032721
Ackley,256,4,0.030591
Ackley,256,5,0.033631
Ackley,256,6,0.032259
Ackley,256,7,0.028528
Ackley,256,8,0.034211
Ackley,256,9,0.029519
Ackley,256,10,0.029581
Ackley,256,11,0.045536
Ackley,256,12,0.030487
Ackley,256,13,0.029682
Ackley,256,14,0.055961
Ackley,256,15,0.044469
Ackley,256,16,0.032523
Ackley,256,17,0.032743
Ackley,256,18,0.031671
Ackley,256,19,0.032828
Ackley,256,20,0.035457
Ackley,256,21,0.031362
Ackley,256,22,0.030520
Ackley,256,23,0.030990
Ackley,256,24,0.044813
Ackley,256,25,0.030973
Ackley,256,26,0.038703
Ackley,256,27,0.117803
Ackley,256,28,0.048633
Ackley,256,29,0.028179
Ackley,1024,0,0.033680
Ackley,1024,1,0.031456
Ackley,1024,2,0.036022
Ackley,1024,3,0.045638
Ackley,1024,4,0.032158
Ackley,1024,5,0.034298
Ackley,1024,6,0.033349
Ackley,1024,7,0.035279
Ackley,1024,8,0.046707
Ackley,1024,9,0.046087
Ackley,1024,10,0.032172
Ackley,1024,11,0.033992
Ackley,1024,12,0.044681
Ackley,1024,13,0.045782
Ackley,1024,14,0.045028
Ackley,1024,15,0.033039
Ackley,1024,16,0.032823
Ackley,1024,17,0.044755
Ackley,1024,18,0.033961
Ackley,1024,19,0.032972
Ackley,1024,20,0.034116
Ackley,1024,21,0.046730
Ackley,1024,22,0.032266
Ackley,1024,23,0.033398
Ackley,1024,24,0.036209
Ackley,1024,25,0.035200
Ackley,1024,26,0.034511
Ackley,1024,27,0.044756
Ackley,1024,28,0.037035
Ackley,1024,29,0.031546
Ackley,8192,0,0.088058
Ackley,8192,1,0.088016
Ackley,8192,2,0.089578
Ackley,8192,3,0.088624
Ackley,8192,4,0.087709
Ackley,8192,5,0.086270
Ackley,8192,6,0.088986
Ackley,8192,7,0.090629
Ackley,8192,8,0.090158
Ackley,8192,9,0.088810
Ackley,8192,10,0.088153
Ackley,8192,11,0.089887
Ackley,8192,12,0.090196
Ackley,8192,13,0.087466
Ackley,8192,14,0.088247
Ackley,8192,15,0.088812
Ackley,8192,16,0.088600
Ackley,8192,17,0.087679
Ackley,8192,18,0.087347
Ackley,8192,19,0.088491
Ackley,8192,20,0.088976
Ackley,8192,21,0.087851
Ackley,8192,22,0.088587
Ackley,8192,23,0.088570
Ackley,8192,24,0.087512
Ackley,8192,25,0.087293
Ackley,8192,26,0.086948
Ackley,8192,27,0.089619
Ackley,8192,28,0.088092
Ackley,8192,29,0.085648
Rosenbrock,4,0,1.821402
Rosenbrock,4,1,1.298584
Rosenbrock,4,2,0.039999
Rosenbrock,4,3,0.410451
Rosenbrock,4,4,336.843616
Rosenbrock,4,5,0.044020
Rosenbrock,4,6,0.077614
Rosenbrock,4,7,1.668419
Rosenbrock,4,8,0.085737
Rosenbrock,4,9,1.368896
Rosenbrock,4,10,0.740595
Rosenbrock,4,11,1.169258
Rosenbrock,4,12,0.281824
Rosenbrock,4,13,0.028680
Rosenbrock,4,14,0.018196
Rosenbrock,4,15,0.014219
Rosenbrock,4,16,1.000534
Rosenbrock,4,17,0.855538
Rosenbrock,4,18,0.078279
Rosenbrock,4,19,0.076904
Rosenbrock,4,20,0.040068
Rosenbrock,4,21,2.533496
Rosenbrock,4,22,0.601961
Rosenbrock,4,23,0.355888
Rosenbrock,4,24,0.086648
Rosenbrock,4,25,0.078259
Rosenbrock,4,26,0.048307
Rosenbrock,4,27,0.067407
Rosenbrock,4,28,0.000785
Rosenbrock,4,29,0.022120
Rosenbrock,256,0,26.878377
Rosenbrock,256,1,25.897866
Rosenbrock,256,2,17.326093
Rosenbrock,256,3,16.063719
Rosenbrock,256,4,43.951960
Rosenbrock,256,5,16.528621
Rosenbrock,256,6,16.637530
Rosenbrock,256,7,261.897370
Rosenbrock,256,8,20.661025
Rosenbrock,256,9,24.474453
Rosenbrock,256,10,37.344868
Rosenbrock,256,11,14.349140
Rosenbrock,256,12,18.827864
Rosenbrock,256,13,34.420182
Rosenbrock,256,14,19.220007
Rosenbrock,256,15,21.908391
Rosenbrock,256,16,27.666589
Rosenbrock,256,17,19.551767
Rosenbrock,256,18,22.985805
Rosenbrock,256,19,20.821164
Rosenbrock,256,20,19.118578
Rosenbrock,256,21,14.824118
Rosenbrock,256,22,20.997603
Rosenbrock,256,23,17.387100
Rosenbrock,256,24,25.567073
Rosenbrock,256,25,24.880509
Rosenbrock,256,26,21.292206
Rosenbrock,256,27,21.743310
Rosenbrock,256,28,16.446769
Rosenbrock,256,29,32.395430
Rosenbrock,1024,0,78.283872
Rosenbrock,1024,1,99.476304
Rosenbrock,1024,2,113.603597
Rosenbrock,1024,3,87.077810
Rosenbrock,1024,4,100.860330
Rosenbrock,1024,5,66.450821
Rosenbrock,1024,6,91.896620
Rosenbrock,1024,7,132.709345
Rosenbrock,1024,8,95.423591
Rosenbrock,1024,9,128.521557
Rosenbrock,1024,10,112.598242
Rosenbrock,1024,11,189.582723
Rosenbrock,1024,12,67.760457
Rosenbrock,1024,13,88.440541
Rosenbrock,1024,14,89.770492
Rosenbrock,1024,15,320.106074
Rosenbrock,1024,16,77.520137
Rosenbrock,1024,17,90.637177
Rosenbrock,1024,18,86.800477
Rosenbrock,1024,19,98.982143
Rosenbrock,1024,20,400.144443
Rosenbrock,1024,21,690.973586
Rosenbrock,1024,22,88.732586
Rosenbrock,1024,23,81.340412
Rosenbrock,1024,24,577.601298
Rosenbrock,1024,25,137.241744
Rosenbrock,1024,26,108.074409
Rosenbrock,1024,27,116.785992
Rosenbrock,1024,28,211.318540
Rosenbrock,1024,29,87.066200
Rosenbrock,8192,0,1852.585411
Rosenbrock,8192,1,1288.631151
Rosenbrock,8192,2,4507.922340
Rosenbrock,8192,3,1904.348580
Rosenbrock,8192,4,3167.831864
Rosenbrock,8192,5,2463.078345
Rosenbrock,8192,6,2011.722560
Rosenbrock,8192,7,3107.581633
Rosenbrock,8192,8,2590.917305
Rosenbrock,8192,9,2928.245586
Rosenbrock,8192,10,2790.090951
Rosenbrock,8192,11,1353.660430
Rosenbrock,8192,12,1083.962460
Rosenbrock,8192,13,3088.721996
Rosenbrock,8192,14,2526.789842
Rosenbrock,8192,15,4393.315912
Rosenbrock,8192,16,1907.152610
Rosenbrock,8192,17,1921.709847
Rosenbrock,8192,18,1760.386965
Rosenbrock,8192,19,1284.795992
Rosenbrock,8192,20,2736.844778
Rosenbrock,8192,21,3799.744425
Rosenbrock,8192,22,1863.023023
Rosenbrock,8192,23,1209.911443
Rosenbrock,8192,24,1382.592751
Rosenbrock,8192,25,1541.642641
Rosenbrock,8192,26,4194.227511
Rosenbrock,8192,27,2183.262175
Rosenbrock,8192,28,1955.522865
Rosenbrock,8192,29,2975.248992
