Function,Dimension,Loop,Fitness
Ackley,8192,0,0.088058
Ackley,8192,1,0.088016
Ackley,8192,2,0.089578
Ackley,8192,3,0.088624
Ackley,8192,4,0.087709
Ackley,8192,5,0.086270
Ackley,8192,6,0.088986
Ackley,8192,7,0.090629
Ackley,8192,8,0.090158
Ackley,8192,9,0.088810
Ackley,8192,10,0.088153
Ackley,8192,11,0.089887
Ackley,8192,12,0.090196
Ackley,8192,13,0.087466
Ackley,8192,14,0.088247
Ackley,8192,15,0.088812
Ackley,8192,16,0.088600
Ackley,8192,17,0.087679
Ackley,8192,18,0.087347
Ackley,8192,19,0.088491
Ackley,8192,20,0.088976
Ackley,8192,21,0.087851
Ackley,8192,22,0.088587
Ackley,8192,23,0.088570
Ackley,8192,24,0.087512
Ackley,8192,25,0.087293
Ackley,8192,26,0.086948
Ackley,8192,27,0.089619
Ackley,8192,28,0.088092
Ackley,8192,29,0.085648
