Function,Dimension,Loop,Fitness
Rosenbrock,1024,0,78.283872
Rosenbrock,1024,1,99.476304
Rosenbrock,1024,2,113.603597
Rosenbrock,1024,3,87.077810
Rosenbrock,1024,4,100.860330
Rosenbrock,1024,5,66.450821
Rosenbrock,1024,6,91.896620
Rosenbrock,1024,7,132.709345
Rosenbrock,1024,8,95.423591
Rosenbrock,1024,9,128.521557
Rosenbrock,1024,10,112.598242
Rosenbrock,1024,11,189.582723
Rosenbrock,1024,12,67.760457
Rosenbrock,1024,13,88.440541
Rosenbrock,1024,14,89.770492
Rosenbrock,1024,15,320.106074
Rosenbrock,1024,16,77.520137
Rosenbrock,1024,17,90.637177
Rosenbrock,1024,18,86.800477
Rosenbrock,1024,19,98.982143
Rosenbrock,1024,20,400.144443
Rosenbrock,1024,21,690.973586
Rosenbrock,1024,22,88.732586
Rosenbrock,1024,23,81.340412
Rosenbrock,1024,24,577.601298
Rosenbrock,1024,25,137.241744
Rosenbrock,1024,26,108.074409
Rosenbrock,1024,27,116.785992
Rosenbrock,1024,28,211.318540
Rosenbrock,1024,29,87.066200
