Function,Dimension,Loop,Fitness
Sphere,32768,0,10.392056
Sphere,32768,1,10.495191
Sphere,32768,2,10.435435
Sphere,32768,3,10.388428
Sphere,32768,4,10.393068
Sphere,32768,5,10.269166
Sphere,32768,6,10.265651
Sphere,32768,7,10.392794
Sphere,32768,8,10.546008
Sphere,32768,9,10.500313
Sphere,32768,10,10.182488
Sphere,32768,11,10.454899
Sphere,32768,12,10.617096
Sphere,32768,13,10.311346
Sphere,32768,14,10.522814
Sphere,32768,15,10.287553
Sphere,32768,16,10.443658
Sphere,32768,17,10.433792
Sphere,32768,18,10.334914
Sphere,32768,19,10.483701
Sphere,32768,20,10.200262
Sphere,32768,21,10.446891
Sphere,32768,22,10.412124
Sphere,32768,23,10.408787
Sphere,32768,24,10.555270
Sphere,32768,25,10.709718
