Function,Dimension,Loop,Time Taken,Fitness
0,4,0,31.889000,0.000000
0,4,1,32.744000,0.000000
0,4,2,32.297000,0.000000
0,4,3,32.593000,0.000000
0,4,4,31.550000,0.000000
0,4,5,31.618000,0.000000
0,4,6,31.899000,0.000000
0,4,7,32.414000,0.000000
0,4,8,33.238000,0.000000
0,4,9,32.832000,0.000000
0,4,10,31.914000,0.000000
0,4,11,31.892000,0.000000
0,4,12,31.833000,0.000491
0,4,13,32.599000,0.000000
0,4,14,32.256000,0.000000
0,4,15,31.693000,0.000000
0,4,16,31.896000,0.000000
0,4,17,32.219000,0.000000
0,4,18,32.521000,0.000000
0,4,19,21.150000,0.000000
0,4,20,21.150000,0.000000
0,4,21,20.888000,0.000000
0,4,22,20.420000,0.000000
0,4,23,22.123000,0.000000
0,4,24,21.426000,0.000000
0,4,25,21.852000,0.000000
0,4,26,21.348000,0.000000
0,4,27,21.833000,0.000000
0,4,28,20.239000,0.000000
0,4,29,20.701000,0.000000
0,256,0,23499.719000,0.014184
0,256,1,36283.857000,0.015266
0,256,2,36871.525000,0.017488
0,256,3,27691.599000,0.013250
0,256,4,30023.402000,0.034218
0,256,5,22480.499000,0.013638
0,256,6,22996.483000,0.013958
0,256,7,28510.926000,0.016080
0,256,8,29386.665000,0.016841
0,256,9,27817.320000,0.016084
0,256,10,25731.848000,0.014447
0,256,11,33000.279000,0.014583
0,256,12,36247.785000,0.014414
0,256,13,27239.704000,0.015550
0,256,14,22888.122000,0.017870
0,256,15,22441.030000,0.027813
0,256,16,21983.834000,0.012635
0,256,17,22769.038000,0.011787
0,256,18,25503.678000,0.012975
0,256,19,28833.584000,0.028661
0,256,20,24405.477000,0.013998
0,256,21,23665.452000,0.016771
0,256,22,28770.680000,0.015321
0,256,23,27382.748000,0.012939
0,256,24,27590.903000,0.016556
0,256,25,24118.784000,0.014925
0,256,26,25539.217000,0.012592
0,256,27,33313.830000,0.016177
0,256,28,37121.793000,0.012341
0,256,29,37363.898000,0.011441
0,1024,0,420198.259000,0.073046
0,1024,1,437799.368000,0.068324
0,1024,2,424655.514000,0.056458
0,1024,3,377952.977000,0.063028
0,1024,4,437167.159000,0.069357
0,1024,5,408109.072000,0.063636
0,1024,6,419548.635000,0.067562
0,1024,7,487530.748000,0.053870
0,1024,8,442734.215000,0.061019
0,1024,9,488804.087000,0.070118
0,1024,10,378559.154000,0.058827
0,1024,11,412335.539000,0.064625
0,1024,12,430670.397000,0.073239
0,1024,13,434465.065000,0.067262
0,1024,14,386452.501000,0.064541
0,1024,15,383865.961000,0.067866
0,1024,16,422694.833000,0.053942
0,1024,17,436499.943000,0.069486
0,1024,18,377772.050000,0.069843
0,1024,19,459210.193000,0.059422
0,1024,20,459420.085000,0.077820
0,1024,21,432040.432000,0.063368
0,1024,22,440275.248000,0.057331
0,1024,23,399662.896000,0.060744
0,1024,24,393581.356000,0.062262
0,1024,25,416016.604000,0.060349
0,1024,26,470636.657000,0.070553
0,1024,27,437728.539000,0.065348
0,1024,28,437119.085000,0.061504
0,1024,29,408909.636000,0.050236
1,4,0,50.787000,0.000000
1,4,1,59.254000,0.000000
1,4,2,41.493000,0.000000
1,4,3,38.910000,0.000000
1,4,4,37.099000,0.000000
1,4,5,36.969000,0.000000
1,4,6,37.041000,0.000000
1,4,7,41.761000,0.857212
1,4,8,37.096000,0.000000
1,4,9,37.155000,0.000000
1,4,10,36.990000,0.000000
1,4,11,45.660000,0.000000
1,4,12,62.044000,0.000000
1,4,13,60.912000,0.000000
1,4,14,61.140000,0.000000
1,4,15,60.773000,0.000000
1,4,16,60.631000,0.000000
1,4,17,61.143000,0.000000
1,4,18,68.287000,0.378021
1,4,19,61.188000,0.000000
1,4,20,61.627000,0.000000
1,4,21,61.277000,0.000000
1,4,22,60.110000,0.000000
1,4,23,60.145000,0.000000
1,4,24,60.969000,0.000000
1,4,25,60.364000,0.000000
1,4,26,61.782000,0.000000
1,4,27,61.353000,0.000000
1,4,28,61.560000,0.000000
1,4,29,63.084000,0.000000
1,256,0,76551.395000,0.034419
1,256,1,87020.850000,0.034598
