Function,Dimension,Loop,Fitness
Ackley,4,0,0.000000
Ackley,4,1,0.000000
Ackley,4,2,0.000000
Ackley,4,3,0.000000
Ackley,4,4,0.000000
Ackley,4,5,0.000000
Ackley,4,6,0.000000
Ackley,4,7,0.190654
Ackley,4,8,0.000000
Ackley,4,9,0.000000
Ackley,4,10,0.000000
Ackley,4,11,0.000000
Ackley,4,12,0.000000
Ackley,4,13,0.000000
Ackley,4,14,0.000000
Ackley,4,15,0.000000
Ackley,4,16,0.000000
Ackley,4,17,0.000000
Ackley,4,18,0.000000
Ackley,4,19,0.000000
Ackley,4,20,0.000000
Ackley,4,21,0.000000
Ackley,4,22,0.000000
Ackley,4,23,0.000000
Ackley,4,24,0.000000
Ackley,4,25,0.000000
Ackley,4,26,0.000000
Ackley,4,27,0.000000
Ackley,4,28,0.000000
Ackley,4,29,0.000000
