Function,Dimension,Loop,Fitness
Rosenbrock,8192,0,1852.585411
Rosenbrock,8192,1,1288.631151
Rosenbrock,8192,2,4507.922340
Rosenbrock,8192,3,1904.348580
Rosenbrock,8192,4,3167.831864
Rosenbrock,8192,5,2463.078345
Rosenbrock,8192,6,2011.722560
Rosenbrock,8192,7,3107.581633
Rosenbrock,8192,8,2590.917305
Rosenbrock,8192,9,2928.245586
Rosenbrock,8192,10,2790.090951
Rosenbrock,8192,11,1353.660430
Rosenbrock,8192,12,1083.962460
Rosenbrock,8192,13,3088.721996
Rosenbrock,8192,14,2526.789842
Rosenbrock,8192,15,4393.315912
Rosenbrock,8192,16,1907.152610
Rosenbrock,8192,17,1921.709847
Rosenbrock,8192,18,1760.386965
Rosenbrock,8192,19,1284.795992
Rosenbrock,8192,20,2736.844778
Rosenbrock,8192,21,3799.744425
Rosenbrock,8192,22,1863.023023
Rosenbrock,8192,23,1209.911443
Rosenbrock,8192,24,1382.592751
Rosenbrock,8192,25,1541.642641
Rosenbrock,8192,26,4194.227511
Rosenbrock,8192,27,2183.262175
Rosenbrock,8192,28,1955.522865
Rosenbrock,8192,29,2975.248992
