Function,Dimension,Loop,Fitness
Rosenbrock,256,0,26.878377
Rosenbrock,256,1,25.897866
Rosenbrock,256,2,17.326093
Rosenbrock,256,3,16.063719
Rosenbrock,256,4,43.951960
Rosenbrock,256,5,16.528621
Rosenbrock,256,6,16.637530
Rosenbrock,256,7,261.897370
Rosenbrock,256,8,20.661025
Rosenbrock,256,9,24.474453
Rosenbrock,256,10,37.344868
Rosenbrock,256,11,14.349140
Rosenbrock,256,12,18.827864
Rosenbrock,256,13,34.420182
Rosenbrock,256,14,19.220007
Rosenbrock,256,15,21.908391
Rosenbrock,256,16,27.666589
Rosenbrock,256,17,19.551767
Rosenbrock,256,18,22.985805
Rosenbrock,256,19,20.821164
Rosenbrock,256,20,19.118578
Rosenbrock,256,21,14.824118
Rosenbrock,256,22,20.997603
Rosenbrock,256,23,17.387100
Rosenbrock,256,24,25.567073
Rosenbrock,256,25,24.880509
Rosenbrock,256,26,21.292206
Rosenbrock,256,27,21.743310
Rosenbrock,256,28,16.446769
Rosenbrock,256,29,32.395430
