Function,Dimension,Loop,Fitness
Sphere,8192,0,2.568242
Sphere,8192,1,2.664329
Sphere,8192,2,5.001386
Sphere,8192,3,2.487232
Sphere,8192,4,2.482906
Sphere,8192,5,2.689170
Sphere,8192,6,2.607635
Sphere,8192,7,2.537684
Sphere,8192,8,2.628718
Sphere,8192,9,2.680777
Sphere,8192,10,2.914689
Sphere,8192,11,2.529124
Sphere,8192,12,2.546142
Sphere,8192,13,2.560964
Sphere,8192,14,2.781711
Sphere,8192,15,2.596140
Sphere,8192,16,2.537477
Sphere,8192,17,2.602647
Sphere,8192,18,2.667786
Sphere,8192,19,2.675612
Sphere,8192,20,2.471131
Sphere,8192,21,2.540792
Sphere,8192,22,2.545728
Sphere,8192,23,2.574474
Sphere,8192,24,1.381786
Sphere,8192,25,2.694648
Sphere,8192,26,2.647630
Sphere,8192,27,3.155498
Sphere,8192,28,2.604050
Sphere,8192,29,2.584472
