Function,Dimension,Loop,Fitness
Sphere,256,0,0.011896
Sphere,256,1,0.011498
Sphere,256,2,0.014888
Sphere,256,3,0.014152
Sphere,256,4,0.010257
Sphere,256,5,0.012024
Sphere,256,6,0.013085
Sphere,256,7,0.011160
Sphere,256,8,0.013655
Sphere,256,9,0.014038
Sphere,256,10,0.012989
Sphere,256,11,0.012099
Sphere,256,12,0.012473
Sphere,256,13,0.014194
Sphere,256,14,0.011476
Sphere,256,15,0.015377
Sphere,256,16,0.014109
Sphere,256,17,0.029287
Sphere,256,18,0.030074
Sphere,256,19,0.011047
Sphere,256,20,0.012346
Sphere,256,21,0.015132
Sphere,256,22,0.029490
Sphere,256,23,0.012192
Sphere,256,24,0.021442
Sphere,256,25,0.014775
Sphere,256,26,0.012995
Sphere,256,27,0.143877
Sphere,256,28,0.012698
Sphere,256,29,0.012354
